SKU_ID,SKU,Brand,SKU_Category,Branch,TotalQty,TotalRevenue,TotalTx,AvgDiscount,NormalPrice
S001,Richeese Wafer Keju 50g,Richeese,Wafer,Bandung,4418,24156420.0,1341,0.054958985831469055,5800.0
S001,Richeese Wafer Keju 50g,Richeese,Wafer,Jakarta,15175,83087320.0,4688,0.055140784982935155,5800.0
S001,Richeese Wafer Keju 50g,Richeese,Wafer,Semarang,2737,15014460.0,864,0.05532407407407408,5800.0
S001,Richeese Wafer Keju 50g,Richeese,Wafer,Surabaya,8191,44811960.0,2519,0.05537911869789599,5800.0
S002,Richoco Wafer Cokelat 50g,Richoco,Wafer,Bandung,3246,17507300.0,1002,0.07275449101796408,5800.0
S002,Richoco Wafer Cokelat 50g,Richoco,Wafer,Jakarta,11521,62211380.0,3541,0.07127929963287208,5800.0
S002,Richoco Wafer Cokelat 50g,Richoco,Wafer,Semarang,2092,11247360.0,645,0.07395348837209302,5800.0
S002,Richoco Wafer Cokelat 50g,Richoco,Wafer,Surabaya,6159,33202680.0,1906,0.07140608604407135,5800.0
S003,Richeese Wafer Keju 10g Renceng,Richeese,Wafer,Bandung,4582,43488000.0,1407,0.05110163468372424,10000.0
S003,Richeese Wafer Keju 10g Renceng,Richeese,Wafer,Jakarta,15757,149552000.0,4895,0.051174668028600614,10000.0
S003,Richeese Wafer Keju 10g Renceng,Richeese,Wafer,Semarang,2921,27695000.0,900,0.051555555555555556,10000.0
S003,Richeese Wafer Keju 10g Renceng,Richeese,Wafer,Surabaya,8524,80954000.0,2645,0.05141776937618148,10000.0
S004,Richoco Wafer Cokelat 10g Renceng,Richoco,Wafer,Bandung,3820,35467000.0,1180,0.07050847457627119,10000.0
S004,Richoco Wafer Cokelat 10g Renceng,Richoco,Wafer,Jakarta,13401,124622000.0,4140,0.06968599033816425,10000.0
S004,Richoco Wafer Cokelat 10g Renceng,Richoco,Wafer,Semarang,2514,23380000.0,757,0.07040951122853369,10000.0
S004,Richoco Wafer Cokelat 10g Renceng,Richoco,Wafer,Surabaya,7367,68498000.0,2234,0.0693822739480752,10000.0
S005,Nextar Brownies Pie 40g,Nextar,Kue/Pie,Bandung,4228,27409200.0,1324,0.07069486404833837,7000.0
S005,Nextar Brownies Pie 40g,Nextar,Kue/Pie,Jakarta,14914,97006700.0,4609,0.06979822087220655,7000.0
S005,Nextar Brownies Pie 40g,Nextar,Kue/Pie,Semarang,2802,18104100.0,845,0.07266272189349113,7000.0
S005,Nextar Brownies Pie 40g,Nextar,Kue/Pie,Surabaya,8032,52228400.0,2486,0.06934835076427998,7000.0
S006,Nextar Nastar Pie 30g,Nextar,Kue/Pie,Bandung,4205,27220900.0,1321,0.07607872823618471,7000.0
S006,Nextar Nastar Pie 30g,Nextar,Kue/Pie,Jakarta,14820,95811100.0,4613,0.07556904400606981,7000.0
S006,Nextar Nastar Pie 30g,Nextar,Kue/Pie,Semarang,2764,17894100.0,847,0.0742621015348288,7000.0
S006,Nextar Nastar Pie 30g,Nextar,Kue/Pie,Surabaya,8079,52256400.0,2490,0.07574297188755019,7000.0
S007,Richeese Siip Keju 20g,Richeese,Extruded Snack,Bandung,3794,10479900.0,1154,0.07954939341421144,3000.0
S007,Richeese Siip Keju 20g,Richeese,Extruded Snack,Jakarta,13217,36575400.0,4055,0.07802712700369914,3000.0
S007,Richeese Siip Keju 20g,Richeese,Extruded Snack,Semarang,2390,6627600.0,737,0.07883310719131614,3000.0
S007,Richeese Siip Keju 20g,Richeese,Extruded Snack,Surabaya,7001,19444500.0,2186,0.07808783165599269,3000.0
S008,Richoco Ahh! Extruded 15g,Richoco,Extruded Snack,Bandung,3902,16673850.0,1173,0.05200341005967604,4500.0
S008,Richoco Ahh! Extruded 15g,Richoco,Extruded Snack,Jakarta,13375,57059550.0,4106,0.05168046760837799,4500.0
S008,Richoco Ahh! Extruded 15g,Richoco,Extruded Snack,Semarang,2442,10434150.0,749,0.051535380507343125,4500.0
S008,Richoco Ahh! Extruded 15g,Richoco,Extruded Snack,Surabaya,7114,30358350.0,2222,0.05274527452745275,4500.0
S009,Richeese Mi Instan Keju Pedas,Richeese,Mi Instan,Bandung,4613,15185800.0,1433,0.05792044661549198,3500.0
S009,Richeese Mi Instan Keju Pedas,Richeese,Mi Instan,Jakarta,15816,52103800.0,4971,0.05823777911888956,3500.0
S009,Richeese Mi Instan Keju Pedas,Richeese,Mi Instan,Semarang,2923,9642150.0,918,0.0579520697167756,3500.0
S009,Richeese Mi Instan Keju Pedas,Richeese,Mi Instan,Surabaya,8802,28976150.0,2695,0.057996289424860854,3500.0
S010,Richeese Mi Instan Ramen Keju,Richeese,Mi Instan,Bandung,3767,14192800.0,1164,0.059793814432989686,4000.0
S010,Richeese Mi Instan Ramen Keju,Richeese,Mi Instan,Jakarta,13166,49630800.0,4067,0.05896238013277601,4000.0
S010,Richeese Mi Instan Ramen Keju,Richeese,Mi Instan,Semarang,2434,9176400.0,736,0.058288043478260866,4000.0
S010,Richeese Mi Instan Ramen Keju,Richeese,Mi Instan,Surabaya,7045,26530000.0,2195,0.05854214123006834,4000.0
S011,Nabati Biskuit Rasa Kelapa,Richeese,Biskuit,Bandung,3165,15023000.0,975,0.049846153846153846,5000.0
S011,Nabati Biskuit Rasa Kelapa,Richeese,Biskuit,Jakarta,11106,52679000.0,3457,0.04978304888631761,5000.0
S011,Nabati Biskuit Rasa Kelapa,Richeese,Biskuit,Semarang,2019,9572500.0,618,0.05048543689320389,5000.0
S011,Nabati Biskuit Rasa Kelapa,Richeese,Biskuit,Surabaya,6029,28640500.0,1859,0.04878967186659495,5000.0
S012,Nabati Biskuit Rasa Cokelat,Richoco,Biskuit,Bandung,4508,20937500.0,1392,0.07133620689655172,5000.0
